Card Name,Condition,Printing,Set,Box Name
Charizard (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Blastoise (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Venusaur (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Mewtwo (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Alakazam (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Poliwrath (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Raichu (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Hitmonchan (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Nidoking (1st Edition Shadowless),Lightly Played+,Holofoil,BASE1: Base,1st Edition Base Set Rares!
Clefairy Doll (1st Edition Shadowless),Lightly Played+,Normal,BASE1: Base,1st Edition Base Set Rares!
Scoop Up (1st Edition Shadowless),Lightly Played+,Normal,BASE1: Base,1st Edition Base Set Rares!
Pokémon Trader (1st Edition Shadowless),Lightly Played+,Normal,BASE1: Base,1st Edition Base Set Rares!
Item Finder (1st Edition Shadowless),Lightly Played+,Normal,BASE1: Base,1st Edition Base Set Rares!
Pokémon Breeder (1st Edition Shadowless),Lightly Played+,Normal,BASE1: Base,1st Edition Base Set Rares!
Umbreon VMAX,Lightly Played+,Holofoil,SWSH7: Evolving Skies,Maximum VMAX
Rayquaza VMAX,Lightly Played+,Holofoil,SWSH7: Evolving Skies,Maximum VMAX
Charizard VMAX,Lightly Played+,Holofoil,SWSH35: Champion's Path,Maximum VMAX
Gengar VMAX,Lightly Played+,Holofoil,SWSH8: Fusion Strike,Maximum VMAX
Blaziken VMAX,Lightly Played+,Holofoil,SWSH6: Chilling Reign,Maximum VMAX
Leafeon VMAX,Lightly Played+,Holofoil,SWSH7: Evolving Skies,Maximum VMAX
Glaceon VMAX,Lightly Played+,Holofoil,SWSH7: Evolving Skies,Maximum VMAX
Sylveon VMAX,Lightly Played+,Holofoil,SWSH7: Evolving Skies,Maximum VMAX
Espeon VMAX,Lightly Played+,Holofoil,SWSH8: Fusion Strike,Maximum VMAX
Pikachu VMAX,Lightly Played+,Holofoil,SWSH4: Vivid Voltage,Maximum VMAX
Charizard VMAX,Lightly Played+,Holofoil,SWSH45SV: Shining Fates Shiny Vault,Maximum VMAX
Charizard-GX,Lightly Played+,Holofoil,SM3: Burning Shadows,"I Choose You, Charizard!"
Charizard-GX,Lightly Played+,Holofoil,SMA: Hidden Fates Shiny Vault,"I Choose You, Charizard!"
Charizard VMAX,Lightly Played+,Holofoil,SWSH35: Champion's Path,"I Choose You, Charizard!"
Charizard V,Lightly Played+,Holofoil,SWSH35: Champion's Path,"I Choose You, Charizard!"
Charizard V,Lightly Played+,Holofoil,SWSH9: Brilliant Stars,"I Choose You, Charizard!"
Charizard VMAX,Lightly Played+,Holofoil,SWSH45SV: Shining Fates Shiny Vault,"I Choose You, Charizard!"
Charizard VSTAR,Lightly Played+,Holofoil,SWSH9: Brilliant Stars,"I Choose You, Charizard!"
Charizard VMAX,Near Mint,Holofoil,SWSH3: Darkness Ablaze,"I Choose You, Charizard!"
Charizard VMAX,Near Mint,Holofoil,SWSHP: SWSH Black Star Promos,"I Choose You, Charizard!"
Charizard ex,Near Mint,Holofoil,SV3: Obsidian Flames,"I Choose You, Charizard!"
Dragonite (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Gengar (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Hitmonlee (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Moltres (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Lapras (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Articuno (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Aerodactyl (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Ditto (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Haunter (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Raichu (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Zapdos (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Kabutops (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Hypno (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Muk (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
Magneton (1st Edition),Lightly Played+,1st Edition Holofoil,BASE3: Fossil,1st Edition Fossil Rares!
